Round,RPi,Treatment,Pre-exp_treat,Tube,Solution,Start,End,Change,Notes,Thorax
1,1,TMX,TMX,L,TMX,3.4733,3.3292,0.1441,Alive,
1,1,TMX,TMX,R,Sucrose,3.5993,3.2922,0.3071,Alive,
1,2,TMX,TMX,L,TMX,3.4563,3.3001,0.1562,Alive,
1,2,TMX,TMX,R,Sucrose,3.5043,3.4352,0.0691,Alive,
1,3,TMX,TMX,L,TMX,3.4935,3.3043,0.1892,Alive,
1,3,TMX,TMX,R,Sucrose,3.5228,3.4249,0.0979,Alive,
1,4,TMX,TMX,L,Sucrose,3.5606,3.4549,0.1057,Lethargic,
1,4,TMX,TMX,R,TMX,3.5286,3.3697,0.1589,Lethargic,
1,5,CAF,CAF,L,Caffeine,3.5488,3.3311,0.2177,Alive,
1,5,CAF,CAF,R,Sucrose,3.5602,3.2171,0.3431,Alive,
1,6,CAF,CAF,L,Caffeine,3.5779,3.3533,0.2246,Alive,
1,6,CAF,CAF,R,Sucrose,3.6164,3.4351,0.1813,Alive,
1,7,CAF,CAF,L,Caffeine,3.5112,3.4289,0.0823,Alive,
1,7,CAF,CAF,R,Sucrose,3.5536,3.2522,0.3014,Alive,
1,8,CAF,CAF,L,Caffeine,3.5674,3.3712,0.1962,Alive,
1,8,CAF,CAF,R,Sucrose,3.462,3.2639,0.1981,Alive,
1,9,CAF,CAF,L,Sucrose,3.5314,3.2952,0.2362,Alive,
1,9,CAF,CAF,R,Caffeine,3.4868,3.355,0.1318,Alive,
1,10,CAF,CAF,L,Sucrose,3.4796,3.2862,0.1934,Alive,
1,10,CAF,CAF,R,Caffeine,3.476,3.4151,0.0609,Alive,
2,1,SCOP,SCOP,L,Scopolamine,3.5607,3.2184,0.3423,Alive,
2,1,SCOP,SCOP,R,Sucrose,3.4919,3.3343,0.1576,Alive,
2,2,SCOP,SCOP,L,Scopolamine,3.5561,3.2462,0.3099,Alive,
2,2,SCOP,SCOP,R,Sucrose,3.5467,3.3943,0.1524,Alive,
2,3,SCOP,SCOP,L,Scopolamine,3.407,2.9702,0.4368,Alive,
2,3,SCOP,SCOP,R,Sucrose,3.492,3.413,0.079,Alive,
