Round,RPi,Treatment,Pre_exp_treat,Tube,Solution,Start,End,Change,Notes,Solution_2,Solution_3,Solution_4
1,1,Nic_choice,Nicotine,L,S,3.5891,3.3763,0.2128,Alive,S,S,S
1,1,Nic_choice,Nicotine,R,N,3.4986,3.3611,0.1375,Alive,N,N,N
1,2,Nic_choice,Nicotine,L,S,3.5942,3.5211,0.0731,Died,S,S,S
1,2,Nic_choice,Nicotine,R,N,3.507,3.4131,0.0939,Died,N,N,N
1,3,Nic_choice,Nicotine,L,S,3.5472,3.3198,0.2274,Alive,S,S,S
1,3,Nic_choice,Nicotine,R,N,3.5096,3.3681,0.1415,Alive,N,N,N
1,4,Nic_choice,Nicotine,L,N,3.4873,3.3561,0.1312,Alive,N,N,N
1,4,Nic_choice,Nicotine,R,S,3.5906,3.3405,0.2501,Alive,S,S,S
1,5,Nic_choice,Nicotine,L,N,3.4985,3.3229,0.1756,Alive,N,N,N
1,5,Nic_choice,Nicotine,R,S,3.4294,3.2081,0.2213,Alive,S,S,S
1,6,Nic_choice,Nicotine,L,N,3.462,3.26,0.202,Alive_queen,N,N,N
1,6,Nic_choice,Nicotine,R,S,3.4944,2.8456,0.6488,Alive_queen,S,S,S
1,7,Nic_choice,Nicotine,L,S,3.4176,3.323,0.0946,Alive,S,S,S
1,7,Nic_choice,Nicotine,R,N,3.5036,3.1714,0.3322,Alive,N,N,N
1,8,Suc_choice,Sucrose,L,S,3.4225,3.2676,0.1549,Alive,S,S,S
1,8,Suc_choice,Sucrose,R,N,3.4245,3.2033,0.2212,Alive,N,N,N
1,9,Suc_choice,Sucrose,L,S,3.5431,3.1633,0.3798,Alive,S,S,S
1,9,Suc_choice,Sucrose,R,N,3.4812,3.3255,0.1557,Alive,N,N,N
1,10,Suc_choice,Sucrose,L,N,3.4405,3.2014,0.2391,Alive,N,N,N
1,10,Suc_choice,Sucrose,R,S,3.4699,3.2415,0.2284,Alive,S,S,S
2,1,Suc_choice,Sucrose,L,S,3.4276,3.306,0.1216,Alive,S,S,S
2,1,Suc_choice,Sucrose,R,N,3.48,3.3646,0.1154,Alive,N,N,N
2,2,Suc_choice,Sucrose,L,N,3.519,3.4313,0.0877,Alive,N,N,N
2,2,Suc_choice,Sucrose,R,S,3.5852,3.4109,0.1743,Alive,S,S,S
2,3,Suc_choice,Sucrose,L,N,3.5018,3.3483,0.1535,Alive,N,N,N
2,3,Suc_choice,Sucrose,R,S,3.5916,3.4372,0.1544,Alive,S,S,S
2,4,Suc_choice,Sucrose,L,S,3.5551,3.3801,0.175,Alive,S,S,S
2,4,Suc_choice,Sucrose,R,N,3.4852,3.2914,0.1938,Alive,N,N,N
2,5,Suc_choice,Sucrose,L,S,3.5704,3.372,0.1984,Alive,S,S,S
2,5,Suc_choice,Sucrose,R,N,3.5184,3.3548,0.1636,Alive,N,N,N
2,6,Suc_choice,Sucrose,L,N,3.4973,3.2727,0.2246,Alive,N,N,N
2,6,Suc_choice,Sucrose,R,S,3.5841,3.3173,0.2668,Alive,S,S,S
2,7,Suc_choice,Sucrose,L,S,3.5755,3.3441,0.2314,Alive,S,S,S
